Страна ,Название сервиса,|,Тип сервиса (услуги),|,Регистрационный номер,|,Область применения,|,Тип технологии,|,Ключев. характеристики,|,Статус использования,|,Доступность,|,Научная база,|,,|,ПРИМЕЧАНИЕ ,Страна Разработчика
China,PVmed Medical Image Processing System,|,ИИ-сервисы для диагностики,|,NMPA 20202211229 ,|,"Рентген, Общий анализ",|,ИИ,|,1. Включает функции отслеживания и объединения изображений. 2.  Клиент-серверная архитектура. Устанавливается с установочного компакт-диска 3. Включает модуль управления шаблонами.,|,Используется,|,"Частные клиники, государственные больницы     ",|,1) https://www.pvmedtech.com/en/news/13.html,|,,|,https://www.pvmedtech.com/en/about.html,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,PVmed iCurve,|,Программное обеспечение для автоматического контурирования,|,NMPA 20253210066,|,КТ головы и шеи,|,Компьютерное зрение,|,"Точность (Ствол мозга): Разница объемов (ΔV%) = 6.01%±17.77, Расстояние Хаусдорфа (HD) = 7.74±3.05 мм, Коэффициент сходства Дайса (DSC) = 0.81±0.05. Время обработки: ~30 секунд на структуру. Особенности: Имеет тенденцию к переоценке объема (положительный ΔV%).",|,Используется,|,"Частные клиники, государственные больницы",|,"1) WANG Mina, HUO Xinyingb, SHI Feiyuea, et al. Comparison Study of Three Softwares for Automatic Delineation of Brain Stem Structure of Patients with Head and Neck Neoplasms[J]. China Medical Devices, 2023, 38(7): 7-11 https://doi.org/10.3969/j.issn.1674-1633.2023.07.002",|,,|,https://www.pvmedtech.com/en/pdRadiotherapy.html ,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,PVmed iVision,|,ИИ-сервисы для диагностики,|,NMPA 20252210432,|,"Рентген, Общий анализ",|,Компьютерное зрение,|,"1. Импорт, отображение и обработка DICOM-изображений и 3D-моделей в формате STL. 2. Архитектура ""Браузер-Сервер"" (B/S). Состоит из двух основных модулей: клиент реконструкции и система управления. Поставляется в виде программных файлов (установщик, файл авторизации, внешние программные среды). 3. Включает модуль ""управления общедоступными наборами данных"". ",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://www.linkedin.com/products/perception-vision-pvics/,|,,|,https://www.pvmedtech.com/en/about.html,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,PVmed iDose,|,ИИ-сервисы для диагностики,|,NMPA 20223210068,|,"КТ, МРТ",|,Компьютерное зрение,|,"1. Рисование контуров (сегментация) опухолей и органов риска. Выполняет объединение изображений, анализ доз облучения и статистический анализ распределения доз. 2. Клиент-серверная архитектура. Поставляется на компакт-диске. 3. Включает модуль ""управления общедоступными наборами данных"", что может подразумевать наличие предустановленных шаблонов или моделей.",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://www.pvmedtech.com/en/pdRadiotherapy.html,|,,|,https://www.pvmedtech.com/en/about.html,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,AVW,|,"Сервис поддерживающий виртуальную эндоскопию, стоматологическую стоматологию, анализ сосудов, толстую кишку, перфузию, анализ узелков в легких, оценку опухоли, анализ плотности легких, коронарный анализ, оценку кальция, анализ сердечной функции, анализ жира, перфузию миокарда, плотность костной ткани, анализ печени",|,NMPA 20172210138,|,"Рентген, Общий анализ",|,Компьютерное зрение,|,1. Печать пленки. Диагностические отчеты. Настройки инструмента. 2. Поставляется на компакт-диске с использованием электронного ключа защиты.,|,Используется,|,"Частные клиники, государственные больницы",|,1) https://tahlilparto.ir/avw/,|,,|,https://neusoftmedical.com/index.html,"Китай (Shenzhen Anke High-tech Co., Ltd.)"
China,uAI-CTMIPS,|,Сервис для анализа изображений КТ-перфузий миокарда,|,NMPA 20232210338,|,КТ сердца,|,Компьютерное зрение,|,"1. Специализируется на обработке данных КТ-перфузии миокарда (CTP) и КТ с отсроченным контрастным усилением (CT-LIE). Выполняет многоплоскостную реконструкцию (MPR) последовательностей CTP и CT-LIE. Генерирует временно-интенсивностные кривые (TAC) и полярные карты (""яблочко"") для данных перфузии. 2. Реконструирует параметрические карты перфузии. 3. Имеет клиент-серверную архитектуру (браузерная и серверная части). Поставляется через U-диск (USB-носитель).",|,Используется,|,"Частные клиники, государственные больницы",|,1) http://www.jumuyl.com/goods/info/id/113031.html,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-CloudPortal,|,"Сервис для МРТ-реконструкции изображений КТ, ПЭТ данных головы и шеи",|,NMPA 20212210573,|,"КТ, МРТ, ПЭТ головы и шеи",|,Компьютерное зрение,|,"1. Поддерживает MPR-реконструкцию для КТ, МРТ и ПЭТ изображений. 2. Выполняет 3D-визуальную реконструкцию данных КТ-ангиографии головы и шеи. 3. Предоставляет функцию ручной разметки изображений. 4. Независимое программное обеспечение со стандартной сетевой архитектурой.",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://www.nmpa.gov.cn/datasearch/search-info.html?nmpa=aWQ9ZTkyZDQyNDliMTJiNzgxOGY5MjAyNjg2MTI5YTE0YjAmaXRlbUlkPWZmODA4MDgxODNjYWQ3NTAwMTgzY2I2NmZlNjkwMjg1,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-CTA-HeadNeckVessels,|,Программное обеспечение для сегментации сосудов головы и шеи и вспомогательного обнаружения аневризмы,|,NMPA 20243211923,|,"КТ голова, шея",|,ИИ,|,"1. Автоматизация: Полностью автоматизирует постобработку (VR, MIP, CPR) и обнаружение аневризм. 2. Архитектура: Состоит из модуля обнаружения (ADM) на основе каскадной FPN и модуля сегментации (ASM) на основе VB-Net. 3. Эффективность: Сокращает время постобработки на 90.8% и время анализа изображений на 37.2%. 4. Точность: Значительно повышает чувствительность и AUC радиологов, особенно для аневризм < 3 мм.",|,Используется,|,"Частные клиники, государственные больницы",|,"1) Enhancing Radiologists’ Performance in Detecting Cerebral Aneurysms Using a Deep Learning Model: A Multicenter Study / L. Zhuo, Y. Zhang, Z. Song [et al.] // Acad. Radiol. – 2025. – Vol. 32, № 3. – P. 1611–1620.",|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-BrainImaging-MRI,|,Сервис для количественного анализ МРТ головного мозга,|,NMPA 20202210138,|,МРТ головного мозга,|,Компьютерное зрение,|,"Автоматическое измерение объема мозга, желудочков и внежелудочковой ЦСЖ",|,Используется,|,"Частные клиники, государственные больницы",|,"1) An artificial-intelligence-based age-specific template construction framework for brain structural analysis using magnetic resonance images / D. Gu, F. Shi, R. Hua [и др.] // Hum. Brain Mapp. – 2023. – Т. 44, № 3. – С. 861–875. 2) Association between perivascular spaces, DTI-derived Indices, and choroid plexus with ventriculomegaly and white matter hyperintensity in idiopathic normal pressure hydrocephalus / W. He, X. Zhou, Z. Chen [et al.] // Neurosurg. Rev. – 2025. – Vol. 48, № 1. – P. 701.",|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
China,uAI-PioneerChest,|,Программное обеспечение для обнаружения узелков в лёгких,|,NMPA 20233211594,|,КТ грудной клетки ,|,ИИ,|,"1. Выполняет трехмерную реконструкцию, обработку, измерение и анализ изображений. 2. Использует алгоритмы на основе глубокого обучения (серверная часть). Имеет клиент-серверную архитектуру с модулями для анализа данных и генерации отчетов. 3. Автоматически идентифицирует легочные узлы размером от 4 мм и выше.",|,Используется,|,"Частные клиники, государственные больницы",|,1) https://arxiv.org/html/2411.07378v2,|,,|,https://usa.united-imaging.com/,"Китай (Shanghai United Imaging Intelligence Co., Ltd.)"
