id,created_at,updated_at,title,authors,abstract,journal_or_conference,publication_year,doi,url,owner_id
1,"2025-10-23 13:43:14.014286","2025-10-23 15:17:08.231618","Оценка финансово-экономического эффекта внедрения систем искусственного интеллекта в здравоохранении на примере платформы Webiomed","Прохоренко Н. Ф.","Одним из барьеров широкого применения систем искусственного интеллекта в здравоохранении является отсутствие финансового-экономического обоснования их внедрения. На примере опыта использования отечественной платформы Webiomed в решении задач профилактики сердечно-сосудистых заболеваний предложена модель оценки экономической эффективности. Общий потенциальный эффект составляет 117,9 млн. руб./1 млн. населения в год, что соответствует окупаемости проекта внедрения с первого года использования на популяции, начиная с 64 тыс.человек. Развитие внедрения рассматриваемой платформы в долгосрочной перспективе позволит повысить эффективность и обоснованность управленческих решений. Использование систем искусственного интеллекта с доказанным позитивным влиянием на эффективность использования финансовых ресурсов позволяет создать условия для достижения целевых показателей государственных программ в здравоохранении. Ключевые слова: системы искусственного интеллекта в здравоохранении, профилактика сердечно-сосудистых заболеваний, экономическая эффективность, система поддержки принятия врачебных решений, Webiomed","Менеджер здравоохранения",2024,10.21045/1811-0185-2024-11-77-87,https://cyberleninka.ru/article/n/otsenka-finansovo-ekonomicheskogo-effekta-vnedreniya-sistem-iskusstvennogo-intellekta-v-zdravoohranenii-na-primere-platformy,5
2,"2025-10-23 14:01:35.869163","2025-10-23 14:01:35.869192","Diagnostic accuracy of a commercially available deep-learning algorithm in supine chest radiographs following trauma","Gipson J, Tang V, Seah J, Kavnoudias H, Zia A, Lee R, Mitra B, Clements W.","Trauma chest radiographs may contain subtle and time-critical pathology. Artificial intelligence (AI) may aid in accurate reporting, timely identification and worklist prioritisation. However, few AI programs have been externally validated. This study aimed to evaluate the performance of a commercially available deep convolutional neural network – Annalise CXR V1.2 (Annalise.ai) – for detection of traumatic injuries on supine chest radiographs.","British Journal of Radiology",2022,10.1259/bjr.20210979,https://pmc.ncbi.nlm.nih.gov/articles/PMC10996416/#_ci93_,5
3,"2025-10-25 11:54:13.534197","2025-10-25 11:54:13.534236","Artificial Intelligence in Lung Cancer Detection: Clinical and Economic Assessment of Retrospective CT Analysis Two Years Post-COVID-19 Pandemic","Zukov, Ruslan & Safontsev, Ivan & Klimenok, Marina & Zabrodskaya, Tatyana & Merkulova, Natalya & Chernina, Valeria & Belyaev, Mikhail & Goncharov, Mikhail & Omelyanovskiy, Vitaly & Ulianova, Ksenia & Soboleva, Evgenia & Blokhina, Maria & Nalivkina, Elena & Gombolevskiy, Victor.","BACKGROUND: The use of chest computed tomography (CT) scans in Krasnoyarsk Krai, Russia, has increased since 2020, during the COVID-19 pandemic. This period also saw a 5.2% decrease in lung cancer (LC) incidence. The potential for missed LC cases has led to the investigation of new diagnostic methods, including the use of artificial intelligence (AI) for analyzing retrospective data. AIM: The study aimed to evaluate the effectiveness of an AI algorithm in identifying patients at high risk for LC using chest CT data from the COVID-19 pandemic. METHODS: A retrospective analysis was conducted on chest CTs from patients diagnosed with COVID-19 in the Krasnoyarsk region, using scans from November 1, 2020, to February 28, 2021. The AI algorithm ""Chest-IRA"" was applied to detect pulmonary nodules larger than 100 mm³. Radiologists classified the nodules detected by AI into three categories based on LC probability. The economic assessment of the AI algorithm included salary costs and potential savings from early LC treatment. RESULTS: Out of 10,500 CTs, the AI algorithm found nodules in 484 cases. Of these, 192 were highly likely to have LC, 103 showed no signs, and 60 were inconclusive. 112 patients with high or intermediate risk did not seek treatment. The AI confirmed lung cancer in 100 cases, 28.2% of those detected. Early-stage LC was found in 35% of cases, while 65% were at later stages. AI could save about 25.04 months of radiologist work, costing 2.43 million RUB. Early detection savings are estimated at 10.6 to 12.5 million RUB per 10,500 CTs, with a five-year economic impact of 259.4 to 305.1 million RUB. CONCLUSION: AI has proven effective in identifying pulmonary nodules amidst COVID-19, highlighting its potential to improve early detection and diagnostic accuracy, leading to earlier and more precise treatments.","Digital Diagnostics",2024,10.17816/DD630885,https://www.researchgate.net/publication/385556582_Artificial_Intelligence_in_Lung_Cancer_Detection_Clinical_and_Economic_Assessment_of_Retrospective_CT_Analysis_Two_Years_Post-COVID-19_Pandemic,
4,"2025-10-25 11:56:34.739047","2025-10-25 11:56:34.739071","Искусственный интеллект в травматологии и ортопедии. Реальность, фантазии или обман?","Середа Андрей Петрович, Джавадов Алисагиб Аббасович, Черный Александр Андреевич","Введение. В последние годы тема искусственного интеллекта (ИИ) в медицине весьма активно обсуждается как решение не просто перспективное, но и позволяющее улучшить какие-то результаты. Значительный рост интереса к системам ИИ в мире начался в первой половине — середине 2010-х гг., что позволило рассматривать вопрос применения таких систем на практике.
Цель исследования — провести анализ всех зарегистрированных в нашей стране как медицинское изделие программных продуктов, в том числе с технологией искусственного интеллекта, и оценить их применимость в области травматологии и ортопедии.
Материал и методы. В исследование были включены все программные продукты, имеющие регистрационное удостоверение медицинского изделия по коду ОКПД2 58.29.XX.XXX (Услуги по изданию прочего программного обеспечения). В государственном реестре медицинских изделий и организаций (индивидуальных предпринимателей), осуществляющих производство и изготовление медицинских изделий, по состоянию на 14 февраля 2024 г. по критерию включения мы обнаружили 111 зарегистрированных программных продуктов.
Результаты. Все зарегистрированные программные продукты мы предложили классифицировать следующим образом: системы, работающие с изображениями стандарта DICOM (47 шт., 42%), с лабораторными данными (20 шт., 18%), с изображениями при микроскопии (7 шт., 6%), с фотоизображениями (5 шт., 5%), медицинские информационные системы (4 шт., 4%), системы анализа текстовых данных (3 шт., 3%), системы поддержки принятия врачебных решений (3 шт., 3%), анализа ЭКГ/Холтер (2 шт., 2%), иные системы (16 шт., 14%). Систем, применимых в области травматологии и ортопедии, оказалось 4 шт. (4%).
Заключение. К сожалению, реальную применимость существующих решений в области травматологии и ортопедии можно расценить как минимальную в сравнении с пульмонологией, онкологией, лабораторной диагностикой, где программы с искусственным интеллектом уже добились значительных успехов.","Травматология и ортопедия России",2024,https://doi.org/10.17816/2311-2905-17468,https://cyberleninka.ru/article/n/iskusstvennyy-intellekt-v-travmatologii-i-ortopedii-realnost-fantazii-ili-obman,5
5,"2025-10-25 12:00:00.609928","2025-10-25 12:38:48.284795","Analysis of comprehensive genomic profiling of solid tumors with a novel assay for broad analysis in clinical diagnostics","Froyen, G., Volders, P.-J., Geerdens, E., Berden, S., Van der Meulen, J., De Cock, A., Vermeire, S., Van Huysse, J., de Barsy, M., Beniuga, G., de Leng, W.W.J., Jansen, A.M.L., Demers, I., Ozgur, Z., Dubbink, H.J., Speel, E.-J.M., van IJcken, W.F.J. and Maes, B.","Somatic multigene analysis by next-generation sequencing (NGS) is routinely integrated in medical oncology for clinical decision-making. However, with the fast-growing number of recommended and required genes as well as pan-cancer biomarkers, small panels have become vastly insufficient. Comprehensive genomic profiling (CGP) is, thus, required to screen for clinically relevant markers. In this multicentric study, we report on an extensive analysis across seven centers comparing the results of the novel OncoDEEP CGP assay with the diagnostically validated TruSight Oncology 500 (TSO500) kit on 250 samples. Overall concordance was 90% for clinically relevant gene variants and >96% for more complex biomarkers. Agreement for fusion detection was 94% for the 11 overlapping clinically actionable driver genes. The higher coverage uniformity of OncoDEEP compared to TSO500 allows users to pool more samples per sequencing run. Tertiary data analysis, including reporting, is integrated in the OncoDEEP solution, whereas this is an add-on for TSO500. Finally, we showed that, analytically, the OncoDEEP panel performs well, thereby advocating its use for CGP of solid tumors in diagnostic laboratories, providing an all-in-one solution for optimal patient management.","Molecular Oncology",2025,https://doi.org/10.1002/1878-0261.13812,https://febs.onlinelibrary.wiley.com/doi/10.1002/1878-0261.13812,5
6,"2025-10-25 12:38:15.465466","2025-10-25 12:38:15.465491","Evaluation of the Accuracy of Infer Read Software in Measuring the Volume of Pure Ground Glass Nodules in the Lung","LIANG Yuan, ZHANG Huihui, and WU Jianlin","Objective: To discuss the accuracy of the automatic measurement of the volume of pure ground glass nodules (pGGN) by the artificial intelligence pulmonary nodule detection software and the influencing factors of the measurement error. Methods: 170 pGGNs from 90 patients who underwent routine chest CT scan from January 1 to 31, 2021 in our hospital were selected in this retrospective study. The original CT scan data (including 1 mm thin-slice images) was sent to the AI server of Inference Technology to automatically measure the volume of lung nodules and record the measurement data. Two senior chest imaging diagnosticians manually carried out pGGNs layer-by-layer measurement and added the volume value, then took the average of three measurements as the ""gold standard"" data to compare with the AI measurement results, and then analyzed the influence of pGGN location, size, proximity and other factors on the AI measurement error. SPSS 26.0 was used for statistical analysis. Results: Among the total 170 pGGNs in the 90 patients in this study, 49 (28.82%) were in the right upper lobe, 21 (12.35%) were in the right middle lobe, 27 (15.88%) were in the right lower lobe, and left upper lobe 49 patients (28.82%) were involved, and 24 patients were in the lower lobe of the left lung (14.12%). Among the adjacent relationships of pGGN, 82 (48.24%) were completely located in the lung parenchyma without adjacency, 29 (17.06%) were close to the blood vessel, and 59 (34.70%) were close to the pleura. (1) There was no statistically significant difference in the volume values of pGGNs between two observers and the same observer at different time points. (2) For the measurement of the same pGGN, there was no statistically significant difference between the results of automatic measurement by AI and manual measurement and the correlation between the two was quite high (r=0.981), and the agreement was also very high (ICC value is 0.987). (3) The size, location, and adjacent relationship of pGGN lesions were not statistically significant for the error of AI volume measurement. Conclusions: The InferRead lung nodule measurement software shows high accuracy in the measurement of lung pGGN three-dimensional volume, which can be applied in clinical lung nodule diagnosis and related research. (2) For the measurement of the same pGGN volume, there was no difference between the results of automatic measurement by AI and manual measurement, and the correlation between them was quite high (r = 0.981), and the consistency was high (ICC value is 0.987). (3) The volume size, occurrence position and adjacent relationship of pGGN have no statistical significance on the error of AI volume measurement. Conclusion: The InferRead lung nodule detection software shows high accuracy in measuring the three-dimensional volume of lung pGGN, and can be applied to clinical diagnosis and related research of lung nodules.","CT Theory and Applications",2022,10.15953/j.ctta.2021.009,https://www.cttacn.org.cn/en/article/doi/10.15953/j.ctta.2021.009,5
7,"2025-10-25 12:40:39.385945","2025-10-25 12:41:14.800626","Independent evaluation of 12 artificial intelligence solutions for the detection of tuberculosis","Codlin AJ, Dao TP, Vo LNQ, Forse RJ, Van Truong V, Dang HM, Nguyen LH, Nguyen HB, Nguyen NV, Sidney-Annerstedt K, Squire B, Lönnroth K, Caws M.","There have been few independent evaluations of computer-aided detection (CAD) software for tuberculosis (TB) screening, despite the rapidly expanding array of available CAD solutions. We developed a test library of chest X-ray (CXR) images which was blindly re-read by two TB clinicians with different levels of experience and then processed by 12 CAD software solutions. Using Xpert MTB/RIF results as the reference standard, we compared the performance characteristics of each CAD software against both an Expert and Intermediate Reader, using cut-off thresholds which were selected to match the sensitivity of each human reader. Six CAD systems performed on par with the Expert Reader (Qure.ai, DeepTek, Delft Imaging, JF Healthcare, OXIPIT, and Lunit) and one additional software (Infervision) performed on par with the Intermediate Reader only. Qure.ai, Delft Imaging and Lunit were the only software to perform significantly better than the Intermediate Reader. The majority of these CAD software showed significantly lower performance among participants with a past history of TB. The radiography equipment used to capture the CXR image was also shown to affect performance for some CAD software. TB program implementers now have a wide selection of quality CAD software solutions to utilize in their CXR screening initiatives.","Scientific Reports",2021,10.1038/s41598-021-03265-0.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8668935/,5
8,"2025-10-25 12:43:00.100465","2025-10-25 12:43:00.100491","Observer performance evaluation of the feasibility of a deep learning model to detect cardiomegaly on chest radiographs.","Ajmera P, Kharat A, Gupte T, Pant R, Kulkarni V, Duddalwar V, Lamghare P.","Background. Cardiothoracic ratio (CTR) is the ratio of the diameter of the heart to the diameter of the thorax. An abnormal CTR (>0.55) is often an indicator of an underlying pathological condition. The accurate prediction of an abnormal CTR chest X-rays (CXRs) aids in the early diagnosis of clinical conditions.
Purpose. We propose a deep learning (DL)-based model for automatic CTR calculation to assist radiologists with rapid diagnosis of cardiomegaly and thus optimise the radiology flow.
Material and Methods. The study population included 1012 posteroanterior CXRs from a single institution. The Attention U-Net DL architecture was used for the automatic calculation of CTR. An observer performance test was conducted to assess the radiologist’s performance in diagnosing cardiomegaly with and without artificial intelligence assistance.
Results. U-Net model exhibited a sensitivity of 0.80 [95% CI: 0.75, 0.85], specificity >99%, precision of 0.99 [95% CI: 0.98, 1], and a F1 score of 0.88 [95% CI: 0.85, 0.91]. Furthermore, the sensitivity of the reviewing radiologist in identifying cardiomegaly increased from 40.50% to 88.4% when aided by the AI-generated CTR.
Conclusion. Our segmentation-based AI model demonstrated high specificity (>99%) and sensitivity (80%) for CTR calculation. The performance of the radiologist on the observer performance test improved significantly with provision of AI assistance. A DL-based segmentation model for rapid quantification of CTR can therefore have significant potential to be used in clinical workflows by reducing radiologists’ burden and alerting to an abnormal enlarged heart early on.","Acta Radiologica Open",2022,10.1177/20584601221107345,https://pmc.ncbi.nlm.nih.gov/articles/PMC9309780/#sec21-20584601221107345,5
9,"2025-10-25 12:44:39.973685","2025-10-25 12:44:39.973712","Real-world analysis of artificial intelligence in musculoskeletal trauma","Ajmera P, Kharat A, Botchu R, Gupta H, Kulkarni V.","Musculoskeletal trauma accounts for a large percentage of emergency room visits and is amongst the top causes of unscheduled patient visits to the emergency room. Musculoskeletal trauma results in expenditure of billions of dollars and protracted losses of quality-adjusted life years. New and innovative methods are needed to minimise the impact by ensuring quick and accurate assessment. However, each of the currently utilised radiological procedures, such as radiography, ultrasonography, computed tomography, and magnetic resonance imaging, has resulted in implosion of medical imaging data. Deep learning, a recent advancement in artificial intelligence, has demonstrated the potential to analyse medical images with sensitivity and specificity at par with experts. In this review article, we intend to summarise and showcase the various developments which have occurred in the dynamic field of artificial intelligence and machine learning and how their applicability to different aspects of imaging in trauma can be explored to improvise our existing reporting systems and improvise on patient outcomes.","Journal of Clinical Orthopaedics and Trauma",2021,10.1016/j.jcot.2021.101573,https://pmc.ncbi.nlm.nih.gov/articles/PMC8427222/#sec9,5
10,"2025-10-25 12:46:47.727693","2025-10-25 12:46:47.727723","A deep learning approach for automated diagnosis of pulmonary embolism on computed tomographic pulmonary angiography","Ajmera, P., Kharat, A., Seth, J. et al.","Background. Computed tomographic pulmonary angiography (CTPA) is the diagnostic standard for confirming pulmonary embolism (PE). Since PE is a life-threatening condition, early diagnosis and treatment are critical to avoid PE-associated morbidity and mortality. However, PE remains subject to misdiagnosis.
Methods. We retrospectively identified 251 CTPAs performed at a tertiary care hospital between January 2018 to January 2021. The scans were classified as positive (n = 55) and negative (n = 196) for PE based on the annotations made by board-certified radiologists. A fully anonymized CT slice served as input for the detection of PE by the 2D segmentation model comprising U-Net architecture with Xception encoder. The diagnostic performance of the model was calculated at both the scan and the slice levels.
Results. The model correctly identified 44 out of 55 scans as positive for PE and 146 out of 196 scans as negative for PE with a sensitivity of 0.80 [95% CI 0.68, 0.89], a specificity of 0.74 [95% CI 0.68, 0.80], and an accuracy of 0.76 [95% CI 0.70, 0.81]. On slice level, 4817 out of 5183 slices were marked as positive for the presence of emboli with a specificity of 0.89 [95% CI 0.88, 0.89], a sensitivity of 0.93 [95% CI 0.92, 0.94], and an accuracy of 0.89 [95% CI 0.887, 0.890]. The model also achieved an AUROC of 0.85 [0.78, 0.90] and 0.94 [0.936, 0.941] at scan level and slice level, respectively for the detection of PE.
Conclusion. The development of an AI model and its use for the identification of pulmonary embolism will support healthcare workers by reducing the rate of missed findings and minimizing the time required to screen the scans.","BMC Medical Imaging",2022,https://doi.org/10.1186/s12880-022-00916-0,https://bmcmedimaging.biomedcentral.com/articles/10.1186/s12880-022-00916-0#citeas,5
